subject,device,signal,shape,n_samples,n_axes
S2,chest,ACC,"(4255300, 3)",4255300,3
S2,chest,ECG,"(4255300, 1)",4255300,1
S2,chest,EMG,"(4255300, 1)",4255300,1
S2,chest,EDA,"(4255300, 1)",4255300,1
S2,chest,Temp,"(4255300, 1)",4255300,1
S2,chest,Resp,"(4255300, 1)",4255300,1
S2,wrist,ACC,"(194528, 3)",194528,3
S2,wrist,BVP,"(389056, 1)",389056,1
S2,wrist,EDA,"(24316, 1)",24316,1
S2,wrist,TEMP,"(24316, 1)",24316,1
S2,label,label,"(4255300,)",4255300,1
S3,chest,ACC,"(4545100, 3)",4545100,3
S3,chest,ECG,"(4545100, 1)",4545100,1
S3,chest,EMG,"(4545100, 1)",4545100,1
S3,chest,EDA,"(4545100, 1)",4545100,1
S3,chest,Temp,"(4545100, 1)",4545100,1
S3,chest,Resp,"(4545100, 1)",4545100,1
S3,wrist,ACC,"(207776, 3)",207776,3
S3,wrist,BVP,"(415552, 1)",415552,1
S3,wrist,EDA,"(25972, 1)",25972,1
S3,wrist,TEMP,"(25972, 1)",25972,1
S3,label,label,"(4545100,)",4545100,1
S4,chest,ACC,"(4496100, 3)",4496100,3
S4,chest,ECG,"(4496100, 1)",4496100,1
S4,chest,EMG,"(4496100, 1)",4496100,1
S4,chest,EDA,"(4496100, 1)",4496100,1
S4,chest,Temp,"(4496100, 1)",4496100,1
S4,chest,Resp,"(4496100, 1)",4496100,1
S4,wrist,ACC,"(205536, 3)",205536,3
S4,wrist,BVP,"(411072, 1)",411072,1
S4,wrist,EDA,"(25692, 1)",25692,1
S4,wrist,TEMP,"(25692, 1)",25692,1
S4,label,label,"(4496100,)",4496100,1
S5,chest,ACC,"(4380600, 3)",4380600,3
S5,chest,ECG,"(4380600, 1)",4380600,1
S5,chest,EMG,"(4380600, 1)",4380600,1
S5,chest,EDA,"(4380600, 1)",4380600,1
S5,chest,Temp,"(4380600, 1)",4380600,1
S5,chest,Resp,"(4380600, 1)",4380600,1
S5,wrist,ACC,"(200256, 3)",200256,3
S5,wrist,BVP,"(400512, 1)",400512,1
S5,wrist,EDA,"(25032, 1)",25032,1
S5,wrist,TEMP,"(25032, 1)",25032,1
S5,label,label,"(4380600,)",4380600,1
S6,chest,ACC,"(4949700, 3)",4949700,3
S6,chest,ECG,"(4949700, 1)",4949700,1
S6,chest,EMG,"(4949700, 1)",4949700,1
S6,chest,EDA,"(4949700, 1)",4949700,1
S6,chest,Temp,"(4949700, 1)",4949700,1
S6,chest,Resp,"(4949700, 1)",4949700,1
S6,wrist,ACC,"(226272, 3)",226272,3
S6,wrist,BVP,"(452544, 1)",452544,1
S6,wrist,EDA,"(28284, 1)",28284,1
S6,wrist,TEMP,"(28284, 1)",28284,1
S6,label,label,"(4949700,)",4949700,1
